tconst,primaryTitle,startYear,runtimeMinutes,genres,averageRating,numVotes,directors
tt0117803,Sworn to Justice,1996,97,"['Action', 'Drama', 'Thriller']",4.9,894.0,['nm0002622']
tt0117909,Earth,1996,125,"['Drama', 'Fantasy', 'Romance']",7.3,3983.0,['nm0575523']
tt0117912,Time Under Fire,1997,92,"['Action', 'Sci-Fi']",3.6,543.0,"['nm0006805', 'nm0715733']"
tt0117938,Tonight Nobody Goes Home,1996,120,"['Comedy', 'Drama']",7.6,103.0,['nm0151827']
tt0117948,Blind Romance,1996,99,"['Comedy', 'Drama', 'Romance']",6.7,143.0,['nm0848373']
tt0117951,Trainspotting,1996,93,['Drama'],8.1,705012.0,['nm0000965']
tt0117954,Dream Hunters,1996,90,"['Comedy', 'Crime', 'Drama']",5.6,64.0,['nm0861616']
tt0117965,The Trigger Effect,1996,94,"['Drama', 'Thriller']",5.7,7955.0,['nm0462895']
tt0117975,True Love and Chaos,1997,97,['Drama'],5.7,282.0,['nm0443613']
tt0117983,Tu Chor Main Sipahi,1996,153,"['Action', 'Comedy', 'Drama']",5.1,1470.0,['nm0223485']
tt0118056,The Mouse,1996,98,['Comedy'],7.0,80.0,['nm0010871']
tt0118069,Vendetta,1996,86,"['Action', 'Drama']",4.7,54.0,['nm0006438']
tt0118075,Vice Academy 5,1996,89,"['Comedy', 'Crime', 'Sci-Fi']",3.8,193.0,['nm0707691']
tt0118105,Va' dove ti porta il cuore,1996,110,"['Drama', 'Romance']",5.4,226.0,['nm0173724']
tt0118119,Warhead,1996,96,"['Action', 'Thriller']",4.2,274.0,['nm0004161']
tt0118172,Mr. Toad's Wild Ride,1996,88,"['Adventure', 'Comedy', 'Family']",6.3,3365.0,['nm0001402']
tt0118204,The 8-Tomb Village,1996,126,['Mystery'],6.3,114.0,['nm0406728']
tt0118220,As Tears Go By,1996,85,['Drama'],7.3,52.0,['nm0337820']
tt0118301,Dead Man on Campus,1998,96,['Comedy'],6.0,16131.0,['nm0169874']
tt0118531,One Eight Seven,1997,119,"['Drama', 'Thriller']",6.6,24472.0,['nm0721817']
tt0118550,Le acrobate,1997,123,"['Drama', 'Romance']",6.9,213.0,['nm0812862']
tt0118570,Air Bud,1997,98,"['Comedy', 'Drama', 'Family']",5.3,18739.0,['nm0001747']
tt0118584,Alissa,1998,95,"['Crime', 'Thriller']",5.2,98.0,['nm0326013']
tt0118600,An American Affair,1997,92,['Drama'],3.4,232.0,['nm0787475']
tt0118614,Amy,1997,104,"['Drama', 'Music']",6.7,808.0,['nm0850958']
tt0118655,Austin Powers: International Man of Mystery,1997,94,"['Adventure', 'Comedy']",7.0,249668.0,['nm0005366']
tt0118682,Bandits,1997,110,"['Drama', 'Music']",6.4,3167.0,['nm0902290']
tt0118685,Barracuda,1997,94,"['Drama', 'Thriller']",6.6,556.0,['nm0372072']
tt0118688,Batman & Robin,1997,125,"['Action', 'Sci-Fi']",3.8,261545.0,['nm0001708']
tt0118755,The Borrowers,1997,89,"['Adventure', 'Comedy', 'Family']",5.9,23056.0,['nm0382072']
tt0118765,Bozic u Becu,1997,97,"['Drama', 'War']",4.4,82.0,['nm0772851']
tt0118767,Brother,1997,96,"['Action', 'Crime', 'Drama']",7.8,23068.0,['nm0049326']
tt0118778,Bring Me the Head of Mavis Davis,1997,100,"['Comedy', 'Crime']",5.2,550.0,['nm0376487']
tt0118779,Brittle Glory,1996,84,"['Comedy', 'Drama']",5.3,165.0,['nm0771609']
tt0118788,Lucky Star,1997,110,['Drama'],7.0,2685.0,['nm0002797']
tt0118814,Camere da letto,1997,100,['Comedy'],4.6,106.0,['nm0412873']
tt0118827,Casualties,1997,85,"['Drama', 'Thriller']",5.3,558.0,['nm0336241']
tt0118836,Chairman of the Board,1998,95,['Comedy'],2.3,6401.0,['nm0005618']
tt0118843,"Black Cat, White Cat",1998,127,"['Comedy', 'Crime', 'Romance']",8.0,55311.0,['nm0001437']
tt0118877,Cops,1997,95,"['Action', 'Comedy', 'Crime']",4.8,434.0,"['nm0632620', 'nm0056355']"
tt0118883,Conspiracy Theory,1997,135,"['Action', 'Mystery', 'Thriller']",6.7,104255.0,['nm0001149']
tt0118888,Corazón loco,1997,116,"['Comedy', 'Romance']",5.8,86.0,['nm0714002']
tt0118901,Critical Care,1997,107,"['Comedy', 'Drama']",5.9,2223.0,['nm0001486']
tt0118904,Macon County Jail,1997,92,"['Crime', 'Thriller']",4.3,289.0,['nm0615814']
tt0118909,The Curse of Inferno,1997,87,"['Comedy', 'Crime', 'Drama']",4.2,534.0,['nm0912889']
tt0118917,Destiny,1997,87,['Drama'],6.3,183.0,['nm0131182']
tt0118925,"Dancer, Texas Pop. 81",1998,97,"['Comedy', 'Drama', 'Family']",6.7,2566.0,['nm0564827']
tt0118974,Diana & Me,1997,98,"['Comedy', 'Romance']",5.3,253.0,['nm0662186']
tt0119018,Drawing Down the Moon,1997,84,"['Crime', 'Drama']",7.2,55.0,['nm0666417']
tt0119029,Dust Off the Wings,1997,85,"['Action', 'Drama', 'Romance']",5.9,98.0,['nm0737019']
tt0119048,Ed Mort,1997,102,['Comedy'],6.1,287.0,['nm0294394']
tt0119056,Elisa Before the End of the World,1997,80,['Drama'],6.8,367.0,['nm0728954']
tt0119086,Excess Baggage,1997,101,"['Action', 'Comedy', 'Crime']",5.4,13931.0,['nm0104193']
tt0119103,Crackers,1998,92,['Comedy'],6.3,430.0,['nm0841698']
tt0119116,The Fifth Element,1997,126,"['Action', 'Adventure', 'Sci-Fi']",7.6,488979.0,['nm0000108']
tt0119138,Follow Me Home,1996,100,['Drama'],7.0,218.0,['nm0105571']
tt0119150,Fred,1997,84,['Thriller'],6.2,301.0,['nm0427136']
tt0119163,Full Blast,1999,91,"['Action', 'Thriller']",5.8,68.0,['nm0591770']
tt0119167,Funny Games,1997,108,"['Crime', 'Drama', 'Thriller']",7.5,79567.0,['nm0359734']
